,Lithuanian,English
0,būti,to be
1,jis,he
2,kuris,which
3,su,with
4,galėti,to be able to
5,aš,i
6,kitas,the other
7,turėti,to have
8,straipsnis,article
9,įstatymas,the law
10,visas,the whole
11,respublika,republic
12,savas,own
13,kas,what
14,nuo,from
15,apie,about
16,toks,such
17,valstybė,state
18,darbas,work
19,už,for
20,projektas,project
21,kai,when
22,dalis,part
23,teisė,right
24,žmogus,a person
25,daug,a lot
26,bei,and
27,po,after
28,diena,day
29,arba,or
30,seimas,Seimas
31,dar,yet
32,nustatyti,to determine
33,asmuo,a person
34,nebūti,not to be
35,labai,very
36,tačiau,however
37,pat,the same
38,pats,himself
39,tu,you
40,šalis,country
41,pagal,according to
42,naujas,new
43,sakyti,to say
44,vieta,place
45,prie,to
46,savivaldybė,municipality
47,jei,if
48,įmonė,company
49,metas,time
50,narys,member
51,litas,litas
52,teismas,the court
53,prieš,against
54,jeigu,if
55,vaikas,child
56,tvarka,order
57,žemė,land
58,ministerija,ministry
59,reikėti,need
60,koks,what
61,pirmininkas,chairman
62,nes,because
63,miestas,city
64,manyti,think
65,didis,big
66,sprendimas,solution
67,pakeitimas,change
68,komisija,commission
69,norėti,to want
70,priimti,to accept
71,priemonė,tool
72,valstybinis,state
73,dabar,now
74,nurodyti,specify
75,tarnyba,service
76,jog,because
77,ministras,minister
78,kartas,times
79,įstaiga,institution
80,atlikti,perform
81,geras,good
82,taryba,council
83,net,even
84,ūkis,the farm
85,ar,or
86,klausimas,question
87,turtas,property
88,sutartis,contract
89,bendrovė,the company
90,dokumentas,document
91,institucija,institution
92,pradėti,to start
93,dirbti,to work
94,mokestis,fee
95,numatyti,to foresee
96,vadovas,manager
97,rajonas,district
98,pasaulis,the world
99,todėl,therefore
100,duomuo,data
101,negalėti,not be able to
102,sveikata,health
103,sudaryti,to conclude
104,mėnuo,month
105,atvejis,the case
106,grupė,group
107,socialinis,social
108,tyrimas,investigation
109,moteris,a woman
110,informacija,information
111,tiek,so much
112,automobilis,car
113,gyventojas,resident
114,tapti,to become
115,patvirtinti,confirm
116,sistema,system
117,vykti,to go
118,kalbėti,to speak
119,mokykla,school
120,aktas,act
121,siūlyti,to propose
122,teigti,to claim
123,policija,the police
124,centras,center
125,prezidentas,the president
126,rinkimai,elections
127,siekti,to pursue
128,kaina,the price
129,žinoti,to know
130,teikti,to provide
131,reikalavimas,requirement
132,padaryti,to do
133,sąjunga,union
134,dalyvauti,to participate
135,lietuvis,Lithuanian
136,gyvenimas,life
137,vykdyti,to carry out
138,žodis,word
139,namai,home
140,užsienis,a foreigner
141,lėšos,funds
142,darbuotojas,an employee
143,toli,far away
144,svarbus,important
145,draudimas,insurance
146,reikalas,the matter
147,byla,case
148,viešas,public
149,komanda,team
150,atstovas,a representative
151,tikras,sure
152,neturėti,not to have
153,galimybė,possibility
154,pagrindinis,main
155,departamentas,department
156,didelis,big
157,biudžetas,budget
158,gal,maybe
159,papildyti,to supplement
160,kultūra,culture
161,tarp,between
162,vanduo,water
163,partija,party
164,naudoti,to use
165,likti,to stay
166,leisti,allow
167,visuomenė,society
168,daryti,to do
169,taisyklė,the rule
170,privalėti,have to
171,šeima,family
172,mažas,small
